日　　期,市　　場,產　　品,上價,中價,下價,平均價(元/公斤),增減%,交易量(公斤),增減%,
104/07/31,104 台北二,胡蘿蔔,19.7,14.2,9.3,14.3,-3,"10,780",21,154154
104/08/01,104 台北二,胡蘿蔔,27.9,14.1,9.9,16,12,"12,442",15,199072
104/08/02,104 台北二,胡蘿蔔,17.1,13.6,8.6,13.3,-17,"11,150",-10,148295
104/08/04,104 台北二,胡蘿蔔,17,13.4,8.4,13.1,-2,"9,990",-10,130869
104/08/05,104 台北二,胡蘿蔔,18.7,16.5,11.8,16,22,"8,820",-12,141120
104/08/06,104 台北二,胡蘿蔔,24,18.5,12,18.3,14,"9,600",9,175680
104/08/07,104 台北二,胡蘿蔔,20.7,17.1,7.9,16,-13,"14,990",56,239840
104/08/08,104 台北二,胡蘿蔔,19.5,13.9,10.6,14.4,-10,"9,010",-40,129744
104/08/09,104 台北二,胡蘿蔔,57,23.6,12.1,28,94,"6,702",-26,187656
104/08/11,104 台北二,胡蘿蔔,20.7,16.6,11.4,16.4,-41,"12,270",83,201228
104/08/12,104 台北二,胡蘿蔔,22.4,16.9,10.2,16.7,2,"10,190",-17,170173
104/08/13,104 台北二,胡蘿蔔,22.6,17.9,11.2,17.5,5,"8,370",-18,146475
104/08/14,104 台北二,胡蘿蔔,22.3,16.3,10.8,16.4,-6,"11,150",33,182860
104/08/15,104 台北二,胡蘿蔔,55.4,18.7,10.8,24.5,49,"12,718",14,311591
104/08/16,104 台北二,胡蘿蔔,21.6,16.8,11.5,16.7,-32,"11,240",-12,187708
104/08/18,104 台北二,胡蘿蔔,23.5,19.6,15.2,19.5,17,"9,370",-17,182715
104/08/19,104 台北二,胡蘿蔔,24.5,20.7,16,20.5,5,"9,060",-3,185730
104/08/20,104 台北二,胡蘿蔔,57,25,17.5,29.9,46,"11,784",30,352341.6
104/08/21,104 台北二,胡蘿蔔,31.5,20.9,16.1,22.1,-26,"10,970",-7,242437
104/08/22,104 台北二,胡蘿蔔,28.4,20.4,14.3,20.8,-6,"12,820",17,266656
104/08/23,104 台北二,胡蘿蔔,23.7,19.9,15.6,19.8,-5,"12,020",-6,237996
104/08/25,104 台北二,胡蘿蔔,22.9,17.1,11.3,17.1,-14,"13,200",10,225720
104/08/26,104 台北二,胡蘿蔔,40.9,19.1,14.2,22.5,32,"11,952",-9,268920
104/08/27,104 台北二,胡蘿蔔,23.1,19.9,13.2,19.2,-15,"11,760",-2,225792
104/08/28,104 台北二,胡蘿蔔,26.9,22.4,16.6,22.2,16,"14,552",24,323054.4
104/09/01,104 台北二,胡蘿蔔,37.9,23.4,17.4,25.1,13,"18,672",28,468667.2
104/09/02,104 台北二,胡蘿蔔,26.2,21.8,15.8,21.5,-14,"9,320",-50,200380
104/09/03,104 台北二,胡蘿蔔,28.1,23.8,18.9,23.7,10,"11,720",26,277764
104/09/04,104 台北二,胡蘿蔔,31.2,23.9,18,24.2,2,"9,536",-19,230771.2
104/09/05,104 台北二,胡蘿蔔,28.4,24.2,21,24.4,1,"9,130",-4,222772
104/09/06,104 台北二,胡蘿蔔,28.5,23.4,17.1,23.2,-5,"12,659",39,293688.8
104/09/08,104 台北二,胡蘿蔔,34.7,24.7,18.4,25.5,10,"13,382",6,341241
104/09/09,104 台北二,胡蘿蔔,28,23.2,17.8,23,-10,"10,860",-19,249780
104/09/10,104 台北二,胡蘿蔔,33.9,24.4,19.8,25.4,10,"11,232",3,285292.8
104/09/11,104 台北二,胡蘿蔔,28.4,23.1,18.8,23.3,-8,"8,230",-27,191759
104/09/12,104 台北二,胡蘿蔔,40.4,26.1,19.6,27.6,18,"14,900",81,411240
104/09/13,104 台北二,胡蘿蔔,32.7,23.8,19,24.6,-11,"14,122",-5,347401.2
104/09/15,104 台北二,胡蘿蔔,28.2,23.8,20.3,24,-2,"10,315",-27,247560
104/09/16,104 台北二,胡蘿蔔,40.8,26.9,20.6,28.4,18,"12,639",23,358947.6
104/09/17,104 台北二,胡蘿蔔,31.5,26.2,19.7,25.9,-9,"8,460",-33,219114
104/09/18,104 台北二,胡蘿蔔,29,26,20.3,25.5,-2,"8,830",4,225165
104/09/19,104 台北二,胡蘿蔔,48.3,26.4,18.2,29.1,14,"12,782",45,371956.2
104/09/20,104 台北二,胡蘿蔔,32.8,24.8,18.9,25.2,-13,"10,640",-17,268128
104/09/22,104 台北二,胡蘿蔔,29.3,25.4,19,24.9,-1,"8,360",-21,208164
104/09/23,104 台北二,胡蘿蔔,28.4,26.1,20.3,25.4,2,"8,420",1,213868
104/09/24,104 台北二,胡蘿蔔,48.2,26.2,16.6,28.7,13,"12,072",43,346466.4
104/09/25,104 台北二,胡蘿蔔,27.8,24.3,17.6,23.6,-18,"10,576",-12,249593.6
104/09/26,104 台北二,胡蘿蔔,27.7,24.1,18.1,23.6,0,"9,492",-10,224011.2
104/09/27,104 台北二,胡蘿蔔,29,24.5,18.5,24.2,3,"9,810",3,237402
104/09/30,104 台北二,胡蘿蔔,30.6,25.8,20.6,25.7,6,"8,190",-17,210483
104/10/01,104 台北二,胡蘿蔔,31.7,26.7,21.2,26.6,4,"7,856",-4,208969.6
104/10/02,104 台北二,胡蘿蔔,54.8,25.2,17.8,29.6,11,"8,300",6,245680
104/10/03,104 台北二,胡蘿蔔,56.3,26.6,15.3,30.3,2,"10,802",30,327300.6
104/10/04,104 台北二,胡蘿蔔,30.1,26.1,18.2,25.3,-17,"9,540",-12,241362
104/10/06,104 台北二,胡蘿蔔,30.7,26.2,17.8,25.4,0,"8,340",-13,211836
104/10/07,104 台北二,胡蘿蔔,42.4,28.6,19.3,29.5,16,"10,709",28,315915.5
104/10/08,104 台北二,胡蘿蔔,31.6,28.4,19.6,27.3,-7,"8,935",-17,243925.5
104/10/09,104 台北二,胡蘿蔔,32.8,28.5,17.9,27.2,0,"9,918",11,269769.6
104/10/10,104 台北二,胡蘿蔔,46,32.9,22.4,33.4,23,"10,402",5,347426.8
104/10/11,104 台北二,胡蘿蔔,31.8,28.7,16.9,27,-19,"8,000",-23,216000
104/10/13,104 台北二,胡蘿蔔,32.5,29.4,23,28.8,7,"10,790",35,310752
104/10/14,104 台北二,胡蘿蔔,46,32.5,23.1,33.3,16,"11,985",11,399100.5
104/10/15,104 台北二,胡蘿蔔,32,30.1,24.6,29.4,-12,"7,610",-37,223734
104/10/16,104 台北二,胡蘿蔔,35,32.5,24.8,31.5,7,"7,750",2,244125
104/10/17,104 台北二,胡蘿蔔,38,34.2,25,33.1,5,"9,180",18,303858
104/10/18,104 台北二,胡蘿蔔,35.7,33.4,23.7,31.9,-4,"10,670",16,340373
104/10/20,104 台北二,胡蘿蔔,37,33.3,24.5,32.3,1,"11,630",9,375649
104/10/21,104 台北二,胡蘿蔔,38.7,34.9,24.5,33.6,4,"8,440",-27,283584
104/10/22,104 台北二,胡蘿蔔,37.9,33.2,20.6,31.7,-6,"8,790",4,278643
104/10/23,104 台北二,胡蘿蔔,37.1,30.7,14.7,28.8,-9,"10,070",15,290016
104/10/24,104 台北二,胡蘿蔔,36.5,31.1,24.3,30.8,7,"9,760",-3,300608
104/10/25,104 台北二,胡蘿蔔,36.7,30.8,17.1,29.2,-5,"8,520",-13,248784
104/10/27,104 台北二,胡蘿蔔,36.4,32.4,22.7,31.2,7,"8,880",4,277056
104/10/28,104 台北二,胡蘿蔔,36.3,31.4,21.1,30.3,-3,"8,790",-1,266337
104/10/29,104 台北二,胡蘿蔔,38.4,32.8,25.7,32.5,7,"6,664",-24,216580
104/10/30,104 台北二,胡蘿蔔,36.5,31.3,21.6,30.4,-6,"11,450",72,348080
104/10/31,104 台北二,胡蘿蔔,36,31.8,20.8,30.4,0,"9,340",-18,283936
104/11/01,104 台北二,胡蘿蔔,35.2,30.7,19.6,29.4,-3,"10,080",8,296352
104/11/03,104 台北二,胡蘿蔔,36.3,31.2,24.9,31,5,"9,600",-5,297600
104/11/04,104 台北二,胡蘿蔔,35.5,30.3,17.7,28.8,-7,"9,750",2,280800
104/11/05,104 台北二,胡蘿蔔,35.5,29,19.2,28.3,-2,"8,920",-9,252436
104/11/06,104 台北二,胡蘿蔔,35.2,30.3,20.7,29.3,4,"8,130",-9,238209
104/11/07,104 台北二,胡蘿蔔,36.2,30.8,22.8,30.3,3,"8,370",3,253611
104/11/08,104 台北二,胡蘿蔔,35.3,31,24.7,30.6,1,"7,950",-5,243270
104/11/10,104 台北二,胡蘿蔔,34.3,31.1,24,30.3,-1,"10,470",32,317241
104/11/11,104 台北二,胡蘿蔔,34.2,30.6,20.2,29.2,-4,"9,410",-10,274772
104/11/12,104 台北二,胡蘿蔔,33.9,30.2,21.9,29.3,0,"8,060",-14,236158
104/11/13,104 台北二,胡蘿蔔,34.3,29,22.4,28.8,-2,"10,285",28,296208
104/11/14,104 台北二,胡蘿蔔,33.2,29.1,19,27.9,-3,"9,330",-9,260307
104/11/15,104 台北二,胡蘿蔔,32.7,27,19.2,26.6,-5,"10,890",17,289674
104/11/17,104 台北二,胡蘿蔔,32.5,27.1,16.5,26.1,-2,"10,240",-6,267264
104/11/18,104 台北二,胡蘿蔔,32.4,27,16.4,26,0,"8,350",-18,217100
104/11/19,104 台北二,胡蘿蔔,33.2,29.4,21.2,28.5,10,"6,380",-24,181830
104/11/20,104 台北二,胡蘿蔔,35,30.3,17.7,28.7,1,"6,900",8,198030
104/11/21,104 台北二,胡蘿蔔,36.4,29.1,20.5,28.9,1,"7,820",13,225998
104/11/22,104 台北二,胡蘿蔔,34.7,29.9,21.9,29.3,1,"9,580",23,280694
104/11/24,104 台北二,胡蘿蔔,36,30.7,20.8,29.8,2,"10,030",5,298894
104/11/25,104 台北二,胡蘿蔔,38.4,32.2,23.2,31.6,6,"8,700",-13,274920
104/11/26,104 台北二,胡蘿蔔,37,30.2,20.7,29.7,-6,"10,800",24,320760
104/11/27,104 台北二,胡蘿蔔,34.4,30.6,21.6,29.6,0,"10,710",-1,317016
104/11/28,104 台北二,胡蘿蔔,33.7,30,20.6,28.8,-3,"10,490",-2,302112
104/11/29,104 台北二,胡蘿蔔,33.7,29.4,18,28,-3,"9,690",-8,271320
104/12/01,104 台北二,胡蘿蔔,34.5,29.2,19.6,28.3,1,"10,690",10,302527
104/12/02,104 台北二,胡蘿蔔,35.1,28.5,13.8,26.9,-5,"11,750",10,316075
104/12/03,104 台北二,胡蘿蔔,35,26.8,9,24.9,-7,"8,570",-27,213393
104/12/04,104 台北二,胡蘿蔔,35.3,30.8,15.2,28.6,15,"7,860",-8,224796
104/12/05,104 台北二,胡蘿蔔,36,30.4,14,28.3,-1,"8,700",11,246210
104/12/06,104 台北二,胡蘿蔔,35.2,29.3,12.4,27.1,-4,"11,020",27,298642
104/12/08,104 台北二,胡蘿蔔,35.3,30.9,16.8,28.9,7,"11,290",2,326281
104/12/09,104 台北二,胡蘿蔔,35.2,28.3,9.3,25.9,-10,"10,150",-10,262885
104/12/10,104 台北二,胡蘿蔔,35.9,30,18.3,28.9,12,"8,390",-17,242471
104/12/11,104 台北二,胡蘿蔔,34.9,29.4,17.2,28.1,-3,"8,810",5,247561
104/12/12,104 台北二,胡蘿蔔,35,30.6,19.4,29.2,4,"8,660",-2,252872
104/12/13,104 台北二,胡蘿蔔,34.5,30.4,24.8,30.1,3,"9,390",8,282639
104/12/15,104 台北二,胡蘿蔔,33.6,30.3,19.1,28.7,-5,"11,790",26,338373
104/12/16,104 台北二,胡蘿蔔,33.3,28.6,13.5,26.5,-8,"10,420",-12,276130
104/12/17,104 台北二,胡蘿蔔,34.8,28.8,15.5,27.3,3,"9,430",-10,257439
104/12/18,104 台北二,胡蘿蔔,34.5,28.8,22.3,28.6,5,"8,940",-5,255684
104/12/19,104 台北二,胡蘿蔔,35.4,27.3,19.6,27.4,-4,"10,050",12,275370
104/12/20,104 台北二,胡蘿蔔,35,26.7,12.2,25.5,-7,"9,670",-4,246585
104/12/22,104 台北二,胡蘿蔔,39.9,28.3,17.4,28.5,12,"8,150",-16,232275
104/12/23,104 台北二,胡蘿蔔,38.9,28.8,18.4,28.7,1,"8,380",3,240506
104/12/24,104 台北二,胡蘿蔔,36.5,29,22.1,29.1,1,"9,280",11,270048
104/12/25,104 台北二,胡蘿蔔,39.9,27.7,23.8,29.4,1,"6,810",-27,200214
104/12/26,104 台北二,胡蘿蔔,39.3,25.3,17.7,26.6,-10,"7,410",9,197106
104/12/27,104 台北二,胡蘿蔔,35.8,23.5,11.8,23.6,-11,"11,980",62,282728
104/12/29,104 台北二,胡蘿蔔,39.2,25.6,8.4,24.8,5,"12,140",1,301072
104/12/30,104 台北二,胡蘿蔔,36.8,25.7,9,24.5,-1,"12,420",2,304290
104/12/31,104 台北二,胡蘿蔔,34,20.6,5.2,20.2,-18,"15,800",27,319160
105/01/01,104 台北二,胡蘿蔔,32.9,21.9,11,21.9,8,"9,960",-37,218124
105/01/02,104 台北二,胡蘿蔔,32,22,8.7,21.4,-2,"9,600",-4,205440
105/01/03,104 台北二,胡蘿蔔,29.2,18.6,8.8,18.8,-12,"11,610",21,218268
105/01/05,104 台北二,胡蘿蔔,29.1,21,7.9,20,6,"9,890",-15,197800
105/01/06,104 台北二,胡蘿蔔,28.9,20.6,12.5,20.6,3,"11,700",18,241020
105/01/07,104 台北二,胡蘿蔔,25.5,17.1,8,17,-17,"14,610",25,248370
105/01/08,104 台北二,胡蘿蔔,24.8,15.9,7.5,16,-6,"12,070",-17,193120
105/01/09,104 台北二,胡蘿蔔,23.7,16.2,7.7,16,0,"12,740",6,203840
105/01/10,104 台北二,胡蘿蔔,21,14,7.3,14.1,-12,"14,165",11,199726.5
105/01/12,104 台北二,胡蘿蔔,21.3,13.9,8.1,14.2,1,"13,770",-3,195534
105/01/13,104 台北二,胡蘿蔔,21.7,14.2,8.2,14.5,2,"9,090",-34,131805
105/01/14,104 台北二,胡蘿蔔,19.9,14.7,10.1,14.8,2,"10,090",11,149332
105/01/15,104 台北二,胡蘿蔔,23.4,14,7.3,14.5,-2,"11,867",18,172071.5
105/01/16,104 台北二,胡蘿蔔,27.1,14.9,10,16.4,13,"11,516",-3,188862.4
105/01/17,104 台北二,胡蘿蔔,23.2,13.9,9.8,15,-9,"12,109",5,181635
105/01/19,104 台北二,胡蘿蔔,21.2,14.1,8.2,14.4,-4,"12,135",0,174744
105/01/20,104 台北二,胡蘿蔔,20.3,14.3,9.3,14.5,1,"12,670",4,183715
105/01/21,104 台北二,胡蘿蔔,23,13.6,8.1,14.4,-1,"13,244",5,190713.6
105/01/22,104 台北二,胡蘿蔔,19.6,14.2,9.9,14.4,0,"10,500",-21,151200
105/01/23,104 台北二,胡蘿蔔,18.2,13.6,8.5,13.5,-6,"13,185",26,177997.5
105/01/24,104 台北二,胡蘿蔔,25.6,15.9,12.1,17.1,27,"8,264",-37,141314.4
105/01/26,104 台北二,胡蘿蔔,25.3,15.4,9.3,16.2,-5,"11,362",37,184064.4
105/01/27,104 台北二,胡蘿蔔,27.9,18.2,9.7,18.4,14,"9,932",-13,182748.8
105/01/28,104 台北二,胡蘿蔔,23.7,19.2,12.9,18.8,2,"10,380",5,195144
105/01/29,104 台北二,胡蘿蔔,23.9,18.7,13.1,18.6,-1,"11,245",8,209157
105/01/30,104 台北二,胡蘿蔔,21.5,16,8.9,15.6,-16,"14,884",32,232190.4
105/01/31,104 台北二,胡蘿蔔,21.9,16.6,10,16.4,5,"12,960",-13,212544
105/02/01,104 台北二,胡蘿蔔,21.8,14.7,9.4,15.1,-8,"9,400",-27,141940
105/02/02,104 台北二,胡蘿蔔,33.3,24.7,13.7,24.2,60,"14,649",56,354505.8
105/02/03,104 台北二,胡蘿蔔,22.5,16.2,12.2,16.6,-31,"11,880",-19,197208
105/02/04,104 台北二,胡蘿蔔,21.8,16,11.2,16.2,-2,"14,690",24,237978
105/02/05,104 台北二,胡蘿蔔,29.5,17.5,13.4,19.1,18,"15,150",3,289365
105/02/06,104 台北二,胡蘿蔔,23.7,17.5,10.3,17.3,-9,"22,900",51,396170
105/02/07,104 台北二,胡蘿蔔,20.3,15.7,10.3,15.5,-10,"7,440",-68,115320
105/02/13,104 台北二,胡蘿蔔,21.8,20,16.2,19.6,26,"6,880",-8,134848
105/02/14,104 台北二,胡蘿蔔,26.3,21.9,17.2,21.8,11,"10,220",49,222796
105/02/17,104 台北二,胡蘿蔔,23.3,20.2,15.9,19.9,-9,"16,410",61,326559
105/02/18,104 台北二,胡蘿蔔,24.2,19.8,14.1,19.5,-2,"14,190",-14,276705
105/02/19,104 台北二,胡蘿蔔,21.8,18,11.3,17.4,-11,"14,640",3,254736
105/02/20,104 台北二,胡蘿蔔,22.7,19.1,12.9,18.6,7,"11,030",-25,205158
105/02/21,104 台北二,胡蘿蔔,21.3,17,11.6,16.7,-10,"18,030",63,301101
105/02/25,104 台北二,胡蘿蔔,23.7,18.5,12.7,18.3,10,"10,380",-42,189954
105/02/26,104 台北二,胡蘿蔔,24.7,18.6,11,18.3,0,"11,290",9,206607
105/02/27,104 台北二,胡蘿蔔,21.1,18.7,10,17.5,-4,"9,580",-15,167650
105/02/28,104 台北二,胡蘿蔔,20.4,17.7,10.4,16.8,-4,"13,110",37,220248
105/03/01,104 台北二,胡蘿蔔,25,20.5,10.9,19.5,16,"9,280",-29,180960
105/03/02,104 台北二,胡蘿蔔,21.5,18.3,14.5,18.2,-7,"10,481",13,190754.2
105/03/03,104 台北二,胡蘿蔔,23.4,17.8,9.7,17.3,-5,"10,658",2,184383.4
105/03/04,104 台北二,胡蘿蔔,20,16.9,8.3,15.8,-9,"12,480",17,197184
105/03/05,104 台北二,胡蘿蔔,19.3,16.3,9.6,15.6,-1,"10,190",-18,158964
105/03/06,104 台北二,胡蘿蔔,19.1,16.2,9.9,15.5,-1,"10,070",-1,156085
105/03/08,104 台北二,胡蘿蔔,46.1,18.8,15.7,23.7,53,"10,072",0,238706.4
105/03/09,104 台北二,胡蘿蔔,19.8,18.3,14.9,17.9,-24,"9,220",-8,165038
105/03/10,104 台北二,胡蘿蔔,20.8,18.7,14.9,18.3,2,"8,850",-4,161955
105/03/11,104 台北二,胡蘿蔔,20.7,17.4,7.7,16.1,-12,"9,940",12,160034
105/03/12,104 台北二,胡蘿蔔,22.4,19.4,11.8,18.5,15,"8,350",-16,154475
105/03/13,104 台北二,胡蘿蔔,23.2,20.6,13.2,19.6,6,"7,920",-5,155232
105/03/15,104 台北二,胡蘿蔔,43.1,23.7,15.4,25.9,32,"10,017",26,259440.3
105/03/16,104 台北二,胡蘿蔔,25,22.2,10.9,20.5,-21,"9,630",-4,197415
105/03/17,104 台北二,胡蘿蔔,26.3,21.9,12.2,20.9,2,"10,640",10,222376
105/03/18,104 台北二,胡蘿蔔,26.6,24,18.1,23.3,11,"8,270",-22,192691
105/03/19,104 台北二,胡蘿蔔,27.2,23.2,15.3,22.4,-4,"9,132",10,204556.8
105/03/20,104 台北二,胡蘿蔔,26.7,23.4,14.9,22.3,0,"8,370",-8,186651
105/03/22,104 台北二,胡蘿蔔,27.1,23.3,13.9,22.2,0,"10,350",24,229770
105/03/23,104 台北二,胡蘿蔔,26.9,23.9,18,23.4,5,"10,690",3,250146
105/03/24,104 台北二,胡蘿蔔,27.7,20.9,12.2,20.5,-12,"10,710",0,219555
105/03/25,104 台北二,胡蘿蔔,28.5,23.2,15,22.6,10,"10,730",0,242498
105/03/26,104 台北二,胡蘿蔔,28.1,21.8,11.9,21.1,-7,"12,580",17,265438
105/03/27,104 台北二,胡蘿蔔,29.2,22.7,13.6,22.2,5,"12,790",2,283938
105/03/29,104 台北二,胡蘿蔔,31.8,23.4,15.2,23.5,6,"11,944",-7,280684
105/03/30,104 台北二,胡蘿蔔,31.4,25.4,16.6,24.8,6,"12,510",5,310248
105/03/31,104 台北二,胡蘿蔔,31.4,23.7,14.4,23.4,-6,"12,310",-2,288054
105/04/01,104 台北二,胡蘿蔔,30.8,22.9,9.6,21.8,-7,"11,932",-3,260117.6
105/04/02,104 台北二,胡蘿蔔,43.3,24.7,9.8,25.5,17,"14,286",20,364293
105/04/03,104 台北二,胡蘿蔔,28.6,23,11.7,21.9,-14,"13,450",-6,294555
105/04/06,104 台北二,胡蘿蔔,28.2,22.1,11.1,21.1,-4,"12,520",-7,264172
105/04/07,104 台北二,胡蘿蔔,27.7,21.8,11.2,20.8,-1,"9,990",-20,207792
105/04/08,104 台北二,胡蘿蔔,27.5,24.7,11.3,22.6,9,"9,200",-8,207920
105/04/09,104 台北二,胡蘿蔔,38.4,22.8,11.6,23.7,5,"10,102",10,239417.4
105/04/10,104 台北二,胡蘿蔔,28.2,23.9,13.3,22.7,-4,"7,580",-25,172066
105/04/12,104 台北二,胡蘿蔔,29.9,21.3,11,21,-7,"10,110",33,212310
105/04/13,104 台北二,胡蘿蔔,30.1,23,12.9,22.4,7,"8,340",-18,186816
105/04/14,104 台北二,胡蘿蔔,30.4,23.4,12.3,22.6,1,"9,600",15,216960
105/04/15,104 台北二,胡蘿蔔,31,23.4,11.9,22.6,0,"8,920",-7,201592
105/04/16,104 台北二,胡蘿蔔,31.4,20.3,8.5,20.2,-11,"10,720",20,216544
105/04/17,104 台北二,胡蘿蔔,30.3,20.3,7.5,19.7,-2,"10,900",2,214730
105/04/19,104 台北二,胡蘿蔔,33,25.5,16.3,25.2,28,"7,040",-35,177408
105/04/20,104 台北二,胡蘿蔔,32.7,25.4,15.2,24.8,-2,"8,750",24,217000
105/04/21,104 台北二,胡蘿蔔,33.6,24.3,11.9,23.7,-4,"8,670",-1,205479
105/04/22,104 台北二,胡蘿蔔,30.8,25.4,14.9,24.4,3,"8,390",-3,204716
105/04/23,104 台北二,胡蘿蔔,30.5,24.6,13.5,23.5,-4,"9,700",16,227950
105/04/24,104 台北二,胡蘿蔔,31,24.6,16.8,24.3,3,"8,550",-12,207765
105/04/26,104 台北二,胡蘿蔔,32.1,26.8,15.8,25.6,5,"8,620",1,220672
105/04/27,104 台北二,胡蘿蔔,32.4,25,14.9,24.4,-5,"9,520",10,232288
105/04/28,104 台北二,胡蘿蔔,31.9,23.9,12.2,23.2,-5,"8,970",-6,208104
